Geo Point;Geo Shape;Numéro Opération;Adresse (Dénomination opération);Année du financement/agrément;Bailleur social;Nombre total de logements financés;dont nombre de logements PLA I;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissements;Nature de programme;Coord_X_LB93;Coord_Y_LB93
48.8380587296, 2.37113830289;"{""type"": ""Point"", ""coordinates"": [2.371138302894228, 48.83805872959756]}";2006.0;1-15, RUE FULTON 10, RUE EDMOND FLAMAND 11-13, QUAI D'AUSTERLITZ (LOT A5 DE PRG);2011;SABLIERE;87;11;49;0;27;construction neuve;;13;logement familial;653842.1323;6859962.412
48.8648375948, 2.39757853451;"{""type"": ""Point"", ""coordinates"": [2.397578534513532, 48.8648375947943]}";2008.0;38-40, AVENUE GAMBETTA;2011;SCI GAMBET;2;0;0;0;2;construction neuve;;20;logement familial;655805.4994;6862924.857
48.8511070455, 2.40280075832;"{""type"": ""Point"", ""coordinates"": [2.402800758318515, 48.85110704549028]}";2009.0;41, RUE DES GRANDS CHAMPS;2011;SCICHAMPS;19;0;0;0;19;construction neuve;;20;logement familial;656177.0549;6861395.22
48.8568340239, 2.37820766821;"{""type"": ""Point"", ""coordinates"": [2.37820766820719, 48.85683402387416]}";2011.0;110, RUE DE LA ROQUETTE;2011;SIEMP;8;0;8;0;0;acquisition réhabilitation;;11;logement familial;654377.4459;6862045.94
48.8930725369, 2.31559641056;"{""type"": ""Point"", ""coordinates"": [2.315596410562205, 48.89307253694797]}";2014.0;181 AVENUE DE CLICHY;2011;SIEMP;19;3;10;0;6;acquisition réhabilitation;;17;logement familial;649818.5275;6866113.394
48.8484439997, 2.27448723714;"{""type"": ""Point"", ""coordinates"": [2.274487237143898, 48.84844399966131]}";2026.0;27-31 RUE FELICIEN DAVID 52 AV DE VERSAILLES;2011;IMM.M.VERT;140;0;0;0;140;construction neuve;;16;foyer pour personnes handicapées;646758.8297;6861177.979
48.8387913734, 2.28855169145;"{""type"": ""Point"", ""coordinates"": [2.288551691447557, 48.838791373376665]}";2027.0;6, RUE DE CASABLANCA 39-41, RUE DURANTON;2011;SMABTP;26;0;0;0;26;construction neuve;;15;logement familial;647781.2398;6860095.32
48.8216040209, 2.36372965716;"{""type"": ""Point"", ""coordinates"": [2.363729657159885, 48.82160402088359]}";2032.0;TOUR PUCCINI VILLA D'ESTE 20-22, AVENUE DE CHOISY;2011;TOIT&JOIE;14;0;14;0;0;acquisition conventionnement;;13;logement familial;653283.6134;6858137.19
48.8883866564, 2.35040711868;"{""type"": ""Point"", ""coordinates"": [2.350407118681513, 48.888386656442684]}";2034.0;82, RUE DOUDEAUVILLE;2011;TOIT&JOIE;13;0;13;0;0;acquisition conventionnement;;18;logement familial;652366.5539;6865570.789
48.856286003, 2.39629175194;"{""type"": ""Point"", ""coordinates"": [2.396291751935646, 48.856286003014866]}";2038.0;60, RUE PLANCHAT;2011;TOIT&JOIE;6;0;6;0;0;acquisition conventionnement;;20;logement familial;655703.831;6861974.708
48.8690550045, 2.39089643324;"{""type"": ""Point"", ""coordinates"": [2.390896433244464, 48.869055004489056]}";2040.0;95, RUE DE MENILMONTANT;2011;VILEAL;20;0;0;0;20;acquisition conventionnement;;20;logement familial;655318.918;6863397.563
48.8717053489, 2.39725846332;"{""type"": ""Point"", ""coordinates"": [2.397258463316527, 48.871705348943756]}";2045.0;31-33, RUE DE LA DUEE;2012;ADOMA;88;88;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;20;foyer de travailleurs migrants;655787.8482;6863688.682
48.8348558358, 2.40085727021;"{""type"": ""Point"", ""coordinates"": [2.400857270207658, 48.834855835804895]}";2046.0;45, AVENUE DU GENERAL BIZOT;2012;ADOMA;92;92;0;0;0;acquisition réhabilitation;;12;foyer pour jeunes travailleurs ou résidence pour jeunes;656020.7319;6859589.321
48.8686127136, 2.39420372668;"{""type"": ""Point"", ""coordinates"": [2.394203726684215, 48.86861271355986]}";2048.0;23, RUE DU RETRAIT;2012;ANTIN;129;129;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;20;foyer de travailleurs migrants;655561.144;6863346.517
48.8814274437, 2.34884863905;"{""type"": ""Point"", ""coordinates"": [2.348848639047121, 48.88142744372384]}";2051.0;46 RUE DE DUNKERQUE;2012;BATIGERE;15;0;7;0;8;acquisition conventionnement;;9;logement familial;652245.8947;6864797.907
48.8871826041, 2.35553987612;"{""type"": ""Point"", ""coordinates"": [2.355539876116972, 48.88718260408741]}";2052.0;5-7, RUE MYRHA  ET 30-32 RUE AFFRE;2012;BATIGERE;12;0;0;12;0;construction neuve;;18;logement familial;652741.8284;6865433.821
48.8571352649, 2.38366712611;"{""type"": ""Point"", ""coordinates"": [2.383667126114357, 48.857135264904684]}";2054.0;8 RUE MERCOEUR;2012;BATIGERE;12;0;0;0;12;construction neuve;;11;logement familial;654778.2741;6862076.295
48.831016613, 2.36610582883;"{""type"": ""Point"", ""coordinates"": [2.366105828831556, 48.83101661296753]}";2057.0;50-52 RUE DE CLISSON;2012;COALLIA;182;182;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;13;foyer de travailleurs migrants;653466.4753;6859182.358
